date,code,main_amount,main_percent
2025-01-05,sz002074,3132767.0,1.67
2025-01-05,sz300101,3114309.0,0.52
2025-01-05,sh603958,3114291.0,1.71
2025-01-05,sz000507,3111818.0,10.77
2025-01-05,sz002348,3092858.0,7.15
2025-01-05,sz002192,3089760.0,2.53
2025-01-05,sz002753,3086980.0,20.07
2025-01-05,sz000830,3065960.0,2.44
2025-01-05,sh600560,3064854.0,8.77
2025-01-05,sz301361,3056709.0,3.65
2025-01-05,sz300410,3034840.0,9.01
2025-01-05,sz002210,3031544.0,1.73
2025-01-05,sz002972,3031109.0,12.47
2025-01-05,sz002151,3021759.0,3.8
2025-01-05,sz300597,3015916.0,7.04
2025-01-05,sh600215,3006690.0,8.85
2025-01-05,sz002843,3001343.0,1.74
2025-01-05,sh603737,2999388.0,5.64
2025-01-05,sh600545,2997965.0,3.7
2025-01-05,sz002489,2992121.0,5.53
2025-01-05,sz300176,2986412.0,6.37
2025-01-05,sz000688,2976609.0,3.22
2025-01-05,sz001301,2963472.0,2.81
