date,code,name,main_amount,main_percent
2025-01-03,sz301239,普瑞眼科,5167652.0,4.19
2025-01-03,sh601065,江盐集团,5164172.0,10.86
2025-01-03,sh603885,吉祥航空,5160374.0,3.25
2025-01-03,sh600587,新华医疗,5135316.0,4.5
2025-01-03,sh600497,驰宏锌锗,5118476.0,1.3
2025-01-03,sh600235,民丰特纸,5083535.0,11.02
2025-01-03,sz300001,特锐德,5060550.0,1.55
2025-01-03,sh600343,航天动力,5049980.0,7.0
2025-01-03,sz002025,航天电器,5046141.0,2.2
2025-01-03,sh603239,浙江仙通,5041433.0,9.98
2025-01-03,sz002096,易普力,5016601.0,5.29
2025-01-03,sh603045,福达合金,5014189.0,8.3
2025-01-03,sh605268,王力安防,5010929.0,6.26
2025-01-03,sz301361,众智科技,5006842.0,3.58
2025-01-03,sh600388,龙净环保,5003602.0,3.34
2025-01-03,sz300693,盛弘股份,4983717.0,0.88
2025-01-03,sh600605,汇通能源,4976068.0,7.1
2025-01-03,sz300415,伊之密,4968580.0,3.02
2025-01-03,sz002628,成都路桥,4942427.0,3.58
2025-01-03,sz002263,大东南,4913982.0,6.04
2025-01-03,sz002318,久立特材,4908224.0,2.45
2025-01-03,sh600396,华电辽能,4899512.0,6.99
2025-01-03,sh601577,长沙银行,4864472.0,2.28
2025-01-03,sh603159,上海亚虹,4857335.0,9.73
2025-01-03,sz002637,赞宇科技,4828959.0,8.66
2025-01-03,sh603633,徕木股份,4801004.0,2.19
2025-01-03,sz000036,华联控股,4796032.0,3.8
2025-01-03,sz002279,久其软件,4751082.0,2.22
2025-01-03,sz301363,美好医疗,4750588.0,2.79
2025-01-03,sz002180,纳思达,4727356.0,1.23
2025-01-03,sz300953,震裕科技,4722414.0,5.25
2025-01-03,sz300971,博亚精工,4708336.0,12.25
2025-01-03,sh603313,梦百合,4675086.0,8.6
2025-01-03,sz300926,博俊科技,4656759.0,2.07
2025-01-03,sh600501,航天晨光,4617491.0,2.23
2025-01-03,sz301062,上海艾录,4605420.0,7.06
2025-01-03,sh600531,豫光金铅,4588303.0,3.25
2025-01-03,sz300172,中电环保,4549965.0,5.3
2025-01-03,sz000597,东北制药,4549333.0,2.76
2025-01-03,sz002392,北京利尔,4542792.0,4.66
2025-01-03,sz300174,元力股份,4537271.0,4.8
2025-01-03,sh603739,蔚蓝生物,4521975.0,8.25
2025-01-03,sz300736,百邦科技,4521696.0,2.45
2025-01-03,sz301037,保立佳,4505349.0,10.47
2025-01-03,sh600359,新农开发,4420714.0,9.27
2025-01-03,sh600771,广誉远,4409055.0,4.35
2025-01-03,sh603507,振江股份,4393682.0,5.69
2025-01-03,sz002035,华帝股份,4385834.0,3.98
2025-01-03,sz300375,鹏翎股份,4355976.0,4.87
2025-01-03,sh600706,曲江文旅,4342806.0,2.12
2025-01-03,sh600029,南方航空,4325332.0,1.3
2025-01-03,sh603367,辰欣药业,4297512.0,7.53
2025-01-03,sh603037,凯众股份,4256049.0,5.62
2025-01-03,sh603997,继峰股份,4251013.0,3.75
2025-01-03,sz301622,英思特,4247291.0,1.3
2025-01-03,sz003033,征和工业,4226600.0,14.99
2025-01-03,sz002172,澳洋健康,4200876.0,5.63
2025-01-03,sz002988,豪美新材,4154108.0,4.12
2025-01-03,sh605006,山东玻纤,4146017.0,2.29
